Picture Count,Address,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City
37,1810 Turkey Ridge Court,Port Byron,61275,335000,320000,15000,0.04478,141,2275,5,4,2006,3275,3,1,44091,44153,62,0,1,0
24,6 EAGLE POINT Pass,Port Byron,61254,319900,320000,-100,-0.00031,88,3645,4,4,1996,3645,3,1,43475,43524,49,0,1,0
18,1001 6TH Avenue Court,Port Byron,61275,314900,320000,-5100,-0.01620,188,1700,3,2,2005,2210,2,0,44735,44764,29,0,1,0
50,21516 RIVER Road North,Cordova,61242,320000,320000,0,0.00000,155,2068,3,2,1980,2068,2,0,43649,44012,363,1,0,0
24,2 EAGLE POINTE Lane,Rapids City,61278,335000,321000,14000,0.04179,107,2994,4,4,2000,2994,3,1,41708,41765,57,0,0,1
1,2308 TIMBERLANE Drive,Port Byron,61275,321000,321000,0,0.00000,177,1810,4,3,2009,2956,3,0,41799,41799,0,0,1,0
24,1320 SUNRISE Lane,Port Byron,61275,329900,321000,8900,0.02698,160,2004,5,4,2004,4008,3,1,42888,43007,119,0,1,0
21,1 EAGLE POINTE Lane,Rapids City,61278,329900,321900,8000,0.02425,122,2639,4,3,2005,2639,2,1,41787,41859,72,0,1,0
24,1623 WHITE TAIL Drive,Port Byron,61275,329900,325000,4900,0.01485,139,2332,4,4,1996,3222,3,1,41436,41557,121,0,1,0
32,20703 41ST Avenue Court North,Port Byron,61275,329000,325000,4000,0.01216,147,2204,3,3,1980,2204,3,0,44495,44589,94,0,0,1
17,3 Netties Hollow Hollow,Rapids City,61278,339900,325000,14900,0.04384,167,1948,3,3,2015,1948,2,1,43563,43811,248,0,0,1
24,1702 TIMBER RIDGE Drive,Port Byron,61275,329900,325000,4900,0.01485,168,1938,5,3,2004,2938,3,0,42857,43021,164,0,1,0
