Photo,Picture Count,MLS #,Class,Type,Area/Tract,Status,List Date,Listing Price,,Address,City,State,Zip,,Price,Price Per SQFT,,Closing Date,Cordova,Port Byron,Total SQFT,# Bedrooms,Total Baths,Year Built,,Total Fin SQFT,Total Full Baths
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/161466/0/120/90/3c137e8109c750856eacfa0d90ad783b/4/e33a9bd3137f5c7c42ecbd7927b0c4eb/161466.JPG,24,QC4163570,Residential,Single Family,QCARA Area,Sold,7/16/2015,"$729,000 ",,1621 WHITE TAIL Drive,Port Byron,IL,61275,,"$700,000 ",$183.05 ,,10/8/2015,0,1,3824,5,5,1999,,"5,656",5
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1300698/0/120/90/d1392333142bdb26e85ddc43e4aedce6/4/da9fb6b52d676507c0700dbac7b3da53/1300698.JPG,2,QC4166695,Residential,Single Family,QCARA Area,Sold,10/23/2015,"$500,000 ",,905 3RD Avenue North,Cordova,IL,61242,,"$500,000 ",$153.94 ,,10/23/2015,1,0,3248,4,4,2002,,"4,109",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/191785/0/120/90/1b3620f7a302bd19451ffd18effcb34f/4/89b06174cb586dcde016b50e6d4e03aa/191785.JPG,24,QC4167188,Residential,Single Family,QCARA Area,Sold,11/13/2015,"$379,000 ",,3417 214TH Street North,Port Byron,IL,61275,,"$375,000 ",$160.46 ,,1/26/2016,0,1,2337,4,3,2006,,"4,297",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/184001/0/120/90/a5aa88be9c81c98572adaefc31f64ce6/4/9c0886c48a0d23fa26dc6a24ae026cb1/184001.JPG,24,QC4163994,Residential,Single Family,QCARA Area,Sold,7/29/2015,"$545,000 ",,21604 RIVER Road North,Cordova,IL,61242,,"$500,000 ",$120.92 ,,2/19/2016,1,0,4135,3,3,1968,,"4,135",3
//cdnparap110.paragonrels.com/ParagonImages/Static/120/90/9220592fad0f7f0dd4261a28ea0e68f4/NoPhotoAvailable.jpg,24,QC4167462,Residential,Single Family,QCARA Area,Sold,11/30/2015,"$414,900 ",,1104 WHITE OAK Court,Port Byron,IL,61275,,"$400,000 ",$140.60 ,,3/23/2016,0,1,2845,3,3,2003,,"2,845",2
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/188250/0/120/90/b259cbf2df442c893ee6050692d4793a/4/f87276c26283aad5516b979101b0488c/188250.JPG,24,QC4160487,Residential,Single Family,QCARA Area,Sold,4/22/2015,"$740,000 ",,1600 TIMBER RIDGE Drive,Port Byron,IL,61275,,"$660,000 ",$154.78 ,,3/28/2016,0,1,4264,6,6,2010,,"6,154",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/171012/0/120/90/de4e5c0bcd0118b9705d509c33523bc7/4/4bcb7d0ee6653843bf1bf14529faf81f/171012.JPG,24,QC4171953,Residential,Single Family,QCARA Area,Sold,5/12/2016,"$450,000 ",,12224 Route 84 N,Port Byron,IL,61275,,"$450,000 ",$196.34 ,,8/3/2016,0,1,2292,4,4,2001,,"3,552",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1265168/0/120/90/b6f42ececd1dc18666f1b64d99b5fcfe/4/9809e810e1056ec7745a97240edaeac8/1265168.JPG,24,QC4173078,Residential,Single Family,QCARA Area,Sold,6/11/2016,"$397,000 ",,24017 94TH Avenue,Port Byron,IL,61275,,"$380,000 ",$179.25 ,,8/11/2016,0,1,2120,4,4,2002,,"3,005",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1282010/0/120/90/c51c617e4dec12573fbb0fc18a94eeda/4/406d7213b75e7f8329459c520301104f/1282010.JPG,24,QC4174284,Residential,Single Family,QCARA Area,Sold,7/19/2016,"$597,000 ",,1613 ELM SHORE Drive,Port Byron,IL,61275,,"$535,000 ",$212.22 ,,12/1/2016,0,1,2521,5,4,1999,,"4,180",3
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1274148/0/120/90/ed2d85c419e94b84ec3ae051e5d835e7/4/49f6526c2f0fcfb66a6a8061a416fde7/1274148.JPG,24,QC4176166,Residential,Single Family,QCARA Area,Sold,9/16/2016,"$449,900 ",,409 S HIGH Street,Port Byron,IL,61275,,"$425,000 ",$175.33 ,,12/15/2016,0,1,2424,4,5,1996,,"4,024",4
//cdnparap110.paragonrels.com/ParagonImages/Property/P11/RMLSA/1228077/0/120/90/6addf2e4d4146e96de63c79892507c10/4/22b538100b64e01d0ab7813d16ca9ba1/1228077.JPG,24,QC4173981,Residential,Single Family,QCARA Area,Sold,7/11/2016,"$369,999 ",,3711 214TH Street North,Port Byron,IL,61275,,"$358,000 ",$118.35 ,,1/13/2017,0,1,3025,4,4,2007,,"3,025",3
